carga_atual,dias_treinados,meta_reps,reps_feitas,falhas_consecutivas,proxima_carga
40,1,10,9,0,40
40,2,10,11,1,42
42,0,10,6,0,42
42,1,10,11,1,42
8,0,10,11,0,8
8,1,10,12,0,10
10,0,10,12,0,12
12,0,10,11,0,12
12,1,10,10,0,12
12,2,10,11,0,14
14,0,10,10,0,14
14,1,10,12,0,16
16,0,10,12,0,18
18,0,10,6,0,18
18,1,10,5,1,16
16,0,10,13,0,18
18,0,10,11,0,18
18,1,10,11,0,18
18,2,10,13,0,20
20,0,10,5,0,20
20,1,10,13,1,22
22,0,10,11,0,22
22,1,10,12,0,24
24,0,10,6,0,24
24,1,10,7,1,22
22,0,10,6,0,22
22,1,10,10,1,22
22,2,10,12,0,24
24,0,10,9,0,24
24,1,10,8,1,22
22,0,10,13,0,24
24,0,10,13,0,26
26,0,10,11,0,26
26,1,10,13,0,28
28,0,10,12,0,30
30,0,10,5,0,30
30,1,10,10,1,30
30,2,10,10,0,32
32,0,10,8,0,32
32,1,10,12,1,34
34,0,10,8,0,34
34,1,10,7,1,30
30,0,10,13,0,32
32,0,10,10,0,32
32,1,10,9,0,32
32,2,10,11,1,34
34,0,10,11,0,34
34,1,10,10,0,34
34,2,10,5,0,34
34,3,10,12,1,36
36,0,10,5,0,36
36,1,10,11,1,36
36,2,10,10,0,38
38,0,10,10,0,38
8,0,10,12,0,10
10,0,10,12,0,12
12,0,10,5,0,12
12,1,10,12,1,14
14,0,10,10,0,14
14,1,10,10,0,14
14,2,10,12,0,16
16,0,10,13,0,18
18,0,10,11,0,18
18,1,10,11,0,18
18,2,10,12,0,20
20,0,10,11,0,20
20,1,10,10,0,20
20,2,10,11,0,22
22,0,10,10,0,22
22,1,10,12,0,24
24,0,10,11,0,24
24,1,10,6,0,24
24,2,10,12,1,26
26,0,10,11,0,26
26,1,10,13,0,28
28,0,10,7,0,28
28,1,10,11,1,28
28,2,10,6,0,28
28,3,10,11,1,30
30,0,10,5,0,30
30,1,10,12,1,32
32,0,10,8,0,32
32,1,10,10,1,32
32,2,10,6,0,32
32,3,10,8,1,28
28,0,10,10,0,28
28,1,10,10,0,28
28,2,10,8,0,28
28,3,10,10,1,30
30,0,10,6,0,30
30,1,10,13,1,32
32,0,10,10,0,32
32,1,10,8,0,32
32,2,10,13,1,34
34,0,10,8,0,34
34,1,10,11,1,34
34,2,10,12,0,36
36,0,10,9,0,36
36,1,10,6,1,32
32,0,10,12,0,34
34,0,10,13,0,36
36,0,10,12,0,38
38,0,10,10,0,38
38,1,10,7,0,38
14,0,10,5,0,14
14,1,10,11,1,14
14,2,10,12,0,16
16,0,10,10,0,16
16,1,10,12,0,18
18,0,10,12,0,20
20,0,10,9,0,20
20,1,10,7,1,18
18,0,10,10,0,18
18,1,10,13,0,20
20,0,10,13,0,22
22,0,10,11,0,22
22,1,10,10,0,22
22,2,10,11,0,24
24,0,10,13,0,26
26,0,10,11,0,26
26,1,10,5,0,26
26,2,10,7,1,24
24,0,10,10,0,24
24,1,10,12,0,26
26,0,10,5,0,26
26,1,10,10,1,26
26,2,10,6,0,26
26,3,10,11,1,28
28,0,10,5,0,28
28,1,10,11,1,28
28,2,10,12,0,30
30,0,10,7,0,30
30,1,10,12,1,32
32,0,10,6,0,32
32,1,10,6,1,28
28,0,10,11,0,28
28,1,10,13,0,30
30,0,10,12,0,32
32,0,10,7,0,32
32,1,10,6,1,28
28,0,10,11,0,28
28,1,10,13,0,30
30,0,10,6,0,30
30,1,10,11,1,30
30,2,10,13,0,32
32,0,10,11,0,32
32,1,10,7,0,32
32,2,10,11,1,34
34,0,10,5,0,34
34,1,10,11,1,34
34,2,10,10,0,36
36,0,10,8,0,36
36,1,10,9,1,32
32,0,10,8,0,32
20,0,10,13,0,22
22,0,10,10,0,22
22,1,10,10,0,22
22,2,10,12,0,24
24,0,10,8,0,24
24,1,10,10,1,24
24,2,10,10,0,26
26,0,10,12,0,28
28,0,10,12,0,30
30,0,10,5,0,30
30,1,10,5,1,28
28,0,10,11,0,28
28,1,10,12,0,30
30,0,10,12,0,32
32,0,10,7,0,32
32,1,10,13,1,34
34,0,10,11,0,34
34,1,10,6,0,34
34,2,10,11,1,36
36,0,10,13,0,38
38,0,10,6,0,38
38,1,10,12,1,40
40,0,10,9,0,40
40,1,10,11,1,40
40,2,10,7,0,40
40,3,10,13,1,42
42,0,10,8,0,42
42,1,10,12,1,44
44,0,10,10,0,44
44,1,10,5,0,44
44,2,10,9,1,40
40,0,10,12,0,42
42,0,10,8,0,42
42,1,10,13,1,44
44,0,10,12,0,46
46,0,10,7,0,46
46,1,10,9,1,42
42,0,10,8,0,42
42,1,10,8,1,38
38,0,10,12,0,40
40,0,10,8,0,40
40,1,10,7,1,36
36,0,10,11,0,36
36,1,10,6,0,36
36,2,10,12,1,38
38,0,10,8,0,38
38,1,10,9,1,34
34,0,10,11,0,34
34,1,10,12,0,36
36,0,10,7,0,36
16,0,10,12,0,18
18,0,10,13,0,20
20,0,10,13,0,22
22,0,10,11,0,22
22,1,10,13,0,24
24,0,10,12,0,26
26,0,10,13,0,28
28,0,10,5,0,28
28,1,10,13,1,30
30,0,10,13,0,32
32,0,10,9,0,32
32,1,10,6,1,28
28,0,10,11,0,28
28,1,10,6,0,28
28,2,10,5,1,26
26,0,10,13,0,28
28,0,10,9,0,28
28,1,10,13,1,30
30,0,10,10,0,30
30,1,10,11,0,30
30,2,10,13,0,32
32,0,10,10,0,32
32,1,10,9,0,32
32,2,10,9,1,28
28,0,10,5,0,28
28,1,10,11,1,28
28,2,10,13,0,30
30,0,10,8,0,30
30,1,10,11,1,30
30,2,10,5,0,30
30,3,10,11,1,32
32,0,10,10,0,32
32,1,10,10,0,32
32,2,10,13,0,34
34,0,10,13,0,36
36,0,10,10,0,36
36,1,10,9,0,36
36,2,10,5,1,32
32,0,10,10,0,32
32,1,10,10,0,32
32,2,10,13,0,34
34,0,10,10,0,34
34,1,10,10,0,34
34,2,10,12,0,36
36,0,10,11,0,36
36,1,10,12,0,38
38,0,10,13,0,40
40,0,10,8,0,40
40,1,10,7,1,36
36,0,10,10,0,36
8,0,10,10,0,8
8,1,10,6,0,8
8,2,10,12,1,10
10,0,10,7,0,10
10,1,10,11,1,10
10,2,10,9,0,10
10,3,10,11,1,12
12,0,10,6,0,12
12,1,10,11,1,12
12,2,10,10,0,14
14,0,10,11,0,14
14,1,10,11,0,14
14,2,10,10,0,16
16,0,10,12,0,18
18,0,10,9,0,18
18,1,10,11,1,18
18,2,10,9,0,18
18,3,10,11,1,20
20,0,10,6,0,20
20,1,10,11,1,20
20,2,10,12,0,22
22,0,10,7,0,22
22,1,10,8,1,20
20,0,10,11,0,20
20,1,10,10,0,20
20,2,10,13,0,22
22,0,10,7,0,22
22,1,10,12,1,24
24,0,10,10,0,24
24,1,10,13,0,26
26,0,10,12,0,28
28,0,10,12,0,30
30,0,10,8,0,30
30,1,10,12,1,32
32,0,10,12,0,34
34,0,10,6,0,34
34,1,10,12,1,36
36,0,10,11,0,36
36,1,10,10,0,36
36,2,10,7,0,36
36,3,10,11,1,38
38,0,10,12,0,40
40,0,10,6,0,40
40,1,10,5,1,36
36,0,10,11,0,36
36,1,10,12,0,38
38,0,10,8,0,38
38,1,10,11,1,38
38,2,10,10,0,40
40,0,10,10,0,40
12,0,10,13,0,14
14,0,10,11,0,14
14,1,10,11,0,14
14,2,10,11,0,16
16,0,10,11,0,16
16,1,10,10,0,16
16,2,10,13,0,18
18,0,10,12,0,20
20,0,10,13,0,22
22,0,10,12,0,24
24,0,10,8,0,24
24,1,10,8,1,22
22,0,10,8,0,22
22,1,10,11,1,22
22,2,10,5,0,22
22,3,10,12,1,24
24,0,10,6,0,24
24,1,10,12,1,26
26,0,10,12,0,28
28,0,10,10,0,28
28,1,10,13,0,30
30,0,10,10,0,30
30,1,10,10,0,30
30,2,10,10,0,32
32,0,10,5,0,32
32,1,10,12,1,34
34,0,10,7,0,34
34,1,10,6,1,30
30,0,10,6,0,30
30,1,10,10,1,30
30,2,10,10,0,32
32,0,10,7,0,32
32,1,10,12,1,34
34,0,10,12,0,36
36,0,10,13,0,38
38,0,10,7,0,38
38,1,10,11,1,38
38,2,10,13,0,40
40,0,10,10,0,40
40,1,10,13,0,42
42,0,10,13,0,44
44,0,10,12,0,46
46,0,10,12,0,48
48,0,10,9,0,48
48,1,10,12,1,50
50,0,10,8,0,50
50,1,10,13,1,52
52,0,10,8,0,52
52,1,10,7,1,46
46,0,10,5,0,46
14,0,10,12,0,16
16,0,10,11,0,16
16,1,10,12,0,18
18,0,10,12,0,20
20,0,10,10,0,20
20,1,10,11,0,20
20,2,10,12,0,22
22,0,10,13,0,24
24,0,10,10,0,24
24,1,10,13,0,26
26,0,10,12,0,28
28,0,10,12,0,30
30,0,10,9,0,30
30,1,10,10,1,30
30,2,10,13,0,32
32,0,10,12,0,34
34,0,10,13,0,36
36,0,10,10,0,36
36,1,10,7,0,36
36,2,10,12,1,38
38,0,10,8,0,38
38,1,10,8,1,34
34,0,10,7,0,34
34,1,10,11,1,34
34,2,10,6,0,34
34,3,10,8,1,30
30,0,10,12,0,32
32,0,10,7,0,32
32,1,10,7,1,28
28,0,10,12,0,30
30,0,10,6,0,30
30,1,10,11,1,30
30,2,10,12,0,32
32,0,10,7,0,32
32,1,10,12,1,34
34,0,10,12,0,36
36,0,10,7,0,36
36,1,10,10,1,36
36,2,10,13,0,38
38,0,10,11,0,38
38,1,10,10,0,38
38,2,10,10,0,40
40,0,10,7,0,40
40,1,10,12,1,42
42,0,10,5,0,42
42,1,10,7,1,38
38,0,10,12,0,40
40,0,10,6,0,40
40,1,10,9,1,36
36,0,10,8,0,36
18,0,10,9,0,18
18,1,10,12,1,20
20,0,10,7,0,20
20,1,10,6,1,18
18,0,10,13,0,20
20,0,10,8,0,20
20,1,10,13,1,22
22,0,10,8,0,22
22,1,10,13,1,24
24,0,10,13,0,26
26,0,10,12,0,28
28,0,10,5,0,28
28,1,10,6,1,26
26,0,10,13,0,28
28,0,10,9,0,28
28,1,10,9,1,26
26,0,10,12,0,28
28,0,10,8,0,28
28,1,10,12,1,30
30,0,10,11,0,30
30,1,10,9,0,30
30,2,10,8,1,28
28,0,10,13,0,30
30,0,10,8,0,30
30,1,10,11,1,30
30,2,10,8,0,30
30,3,10,12,1,32
32,0,10,8,0,32
32,1,10,11,1,32
32,2,10,9,0,32
32,3,10,11,1,34
34,0,10,12,0,36
36,0,10,7,0,36
36,1,10,7,1,32
32,0,10,11,0,32
32,1,10,11,0,32
32,2,10,10,0,34
34,0,10,9,0,34
34,1,10,13,1,36
36,0,10,11,0,36
36,1,10,8,0,36
36,2,10,11,1,38
38,0,10,7,0,38
38,1,10,10,1,38
38,2,10,11,0,40
40,0,10,6,0,40
40,1,10,6,1,36
36,0,10,9,0,36
36,1,10,11,1,36
36,2,10,13,0,38
18,0,10,11,0,18
18,1,10,12,0,20
20,0,10,5,0,20
20,1,10,10,1,20
20,2,10,10,0,22
22,0,10,7,0,22
22,1,10,11,1,22
22,2,10,13,0,24
24,0,10,11,0,24
24,1,10,11,0,24
24,2,10,12,0,26
26,0,10,5,0,26
26,1,10,10,1,26
26,2,10,11,0,28
28,0,10,10,0,28
28,1,10,12,0,30
30,0,10,6,0,30
30,1,10,13,1,32
32,0,10,7,0,32
32,1,10,10,1,32
32,2,10,11,0,34
34,0,10,13,0,36
36,0,10,11,0,36
36,1,10,6,0,36
36,2,10,8,1,32
32,0,10,10,0,32
32,1,10,8,0,32
32,2,10,12,1,34
34,0,10,9,0,34
34,1,10,11,1,34
34,2,10,12,0,36
36,0,10,9,0,36
36,1,10,12,1,38
38,0,10,9,0,38
38,1,10,7,1,34
34,0,10,12,0,36
36,0,10,13,0,38
38,0,10,7,0,38
38,1,10,11,1,38
38,2,10,11,0,40
40,0,10,7,0,40
40,1,10,8,1,36
36,0,10,12,0,38
38,0,10,10,0,38
38,1,10,10,0,38
38,2,10,6,0,38
38,3,10,12,1,40
40,0,10,7,0,40
40,1,10,8,1,36
36,0,10,9,0,36
18,0,10,13,0,20
20,0,10,9,0,20
20,1,10,6,1,18
18,0,10,11,0,18
18,1,10,13,0,20
20,0,10,11,0,20
20,1,10,10,0,20
20,2,10,12,0,22
22,0,10,11,0,22
22,1,10,11,0,22
22,2,10,10,0,24
24,0,10,12,0,26
26,0,10,12,0,28
28,0,10,12,0,30
30,0,10,12,0,32
32,0,10,7,0,32
32,1,10,13,1,34
34,0,10,7,0,34
34,1,10,11,1,34
34,2,10,5,0,34
34,3,10,8,1,30
30,0,10,7,0,30
30,1,10,7,1,28
28,0,10,10,0,28
28,1,10,10,0,28
28,2,10,5,0,28
28,3,10,9,1,26
26,0,10,12,0,28
28,0,10,11,0,28
28,1,10,12,0,30
30,0,10,12,0,32
32,0,10,10,0,32
32,1,10,11,0,32
32,2,10,10,0,34
34,0,10,13,0,36
36,0,10,9,0,36
36,1,10,5,1,32
32,0,10,10,0,32
32,1,10,5,0,32
32,2,10,12,1,34
34,0,10,13,0,36
36,0,10,7,0,36
36,1,10,11,1,36
36,2,10,9,0,36
36,3,10,8,1,32
32,0,10,13,0,34
34,0,10,5,0,34
34,1,10,5,1,30
30,0,10,10,0,30
30,1,10,10,0,30
14,0,10,10,0,14
14,1,10,10,0,14
14,2,10,13,0,16
16,0,10,12,0,18
18,0,10,13,0,20
20,0,10,9,0,20
20,1,10,10,1,20
20,2,10,13,0,22
22,0,10,10,0,22
22,1,10,11,0,22
22,2,10,11,0,24
24,0,10,6,0,24
24,1,10,5,1,22
22,0,10,10,0,22
22,1,10,11,0,22
22,2,10,13,0,24
24,0,10,7,0,24
24,1,10,12,1,26
26,0,10,10,0,26
26,1,10,6,0,26
26,2,10,13,1,28
28,0,10,13,0,30
30,0,10,13,0,32
32,0,10,11,0,32
32,1,10,12,0,34
34,0,10,11,0,34
34,1,10,7,0,34
34,2,10,11,1,36
36,0,10,5,0,36
36,1,10,8,1,32
32,0,10,13,0,34
34,0,10,12,0,36
36,0,10,13,0,38
38,0,10,12,0,40
40,0,10,11,0,40
40,1,10,10,0,40
40,2,10,9,0,40
40,3,10,10,1,42
42,0,10,12,0,44
44,0,10,8,0,44
44,1,10,13,1,46
46,0,10,5,0,46
46,1,10,6,1,42
42,0,10,5,0,42
42,1,10,10,1,42
42,2,10,12,0,44
44,0,10,10,0,44
44,1,10,13,0,46
46,0,10,13,0,48
48,0,10,13,0,50
14,0,10,13,0,16
16,0,10,12,0,18
18,0,10,10,0,18
18,1,10,11,0,18
18,2,10,12,0,20
20,0,10,12,0,22
22,0,10,10,0,22
22,1,10,10,0,22
22,2,10,10,0,24
24,0,10,10,0,24
24,1,10,10,0,24
24,2,10,10,0,26
26,0,10,12,0,28
28,0,10,7,0,28
28,1,10,9,1,26
26,0,10,13,0,28
28,0,10,6,0,28
28,1,10,10,1,28
28,2,10,11,0,30
30,0,10,7,0,30
30,1,10,10,1,30
30,2,10,12,0,32
32,0,10,12,0,34
34,0,10,12,0,36
36,0,10,8,0,36
36,1,10,5,1,32
32,0,10,10,0,32
32,1,10,12,0,34
34,0,10,12,0,36
36,0,10,12,0,38
38,0,10,11,0,38
38,1,10,11,0,38
38,2,10,12,0,40
40,0,10,11,0,40
40,1,10,6,0,40
40,2,10,8,1,36
36,0,10,9,0,36
36,1,10,13,1,38
38,0,10,5,0,38
38,1,10,7,1,34
34,0,10,13,0,36
36,0,10,13,0,38
38,0,10,13,0,40
40,0,10,6,0,40
40,1,10,12,1,42
42,0,10,12,0,44
44,0,10,13,0,46
46,0,10,9,0,46
46,1,10,5,1,42
42,0,10,6,0,42
12,0,10,12,0,14
14,0,10,12,0,16
16,0,10,12,0,18
18,0,10,7,0,18
18,1,10,10,1,18
18,2,10,5,0,18
18,3,10,12,1,20
20,0,10,5,0,20
20,1,10,10,1,20
20,2,10,13,0,22
22,0,10,13,0,24
24,0,10,7,0,24
24,1,10,12,1,26
26,0,10,12,0,28
28,0,10,6,0,28
28,1,10,7,1,26
26,0,10,10,0,26
26,1,10,7,0,26
26,2,10,12,1,28
28,0,10,7,0,28
28,1,10,10,1,28
28,2,10,11,0,30
30,0,10,9,0,30
30,1,10,12,1,32
32,0,10,13,0,34
34,0,10,11,0,34
34,1,10,13,0,36
36,0,10,7,0,36
36,1,10,7,1,32
32,0,10,12,0,34
34,0,10,11,0,34
34,1,10,13,0,36
36,0,10,8,0,36
36,1,10,5,1,32
32,0,10,12,0,34
34,0,10,8,0,34
34,1,10,10,1,34
34,2,10,8,0,34
34,3,10,7,1,30
30,0,10,12,0,32
32,0,10,6,0,32
32,1,10,10,1,32
32,2,10,8,0,32
32,3,10,8,1,28
28,0,10,13,0,30
30,0,10,5,0,30
30,1,10,5,1,28
28,0,10,10,0,28
28,1,10,9,0,28
28,2,10,10,1,30
20,0,10,10,0,20
20,1,10,13,0,22
22,0,10,10,0,22
22,1,10,7,0,22
22,2,10,13,1,24
24,0,10,13,0,26
26,0,10,8,0,26
26,1,10,10,1,26
26,2,10,10,0,28
28,0,10,12,0,30
30,0,10,9,0,30
30,1,10,10,1,30
30,2,10,11,0,32
32,0,10,10,0,32
32,1,10,10,0,32
32,2,10,11,0,34
34,0,10,6,0,34
34,1,10,13,1,36
36,0,10,13,0,38
38,0,10,11,0,38
38,1,10,13,0,40
40,0,10,5,0,40
40,1,10,11,1,40
40,2,10,5,0,40
40,3,10,11,1,42
42,0,10,7,0,42
42,1,10,9,1,38
38,0,10,12,0,40
40,0,10,8,0,40
40,1,10,13,1,42
42,0,10,12,0,44
44,0,10,9,0,44
44,1,10,11,1,44
44,2,10,10,0,46
46,0,10,12,0,48
48,0,10,8,0,48
48,1,10,11,1,48
48,2,10,7,0,48
48,3,10,11,1,50
50,0,10,6,0,50
50,1,10,7,1,44
44,0,10,9,0,44
44,1,10,7,1,40
40,0,10,12,0,42
42,0,10,6,0,42
42,1,10,12,1,44
44,0,10,11,0,44
44,1,10,11,0,44
44,2,10,10,0,46
46,0,10,8,0,46
10,0,10,11,0,10
10,1,10,13,0,12
12,0,10,13,0,14
14,0,10,12,0,16
16,0,10,12,0,18
18,0,10,8,0,18
18,1,10,13,1,20
20,0,10,13,0,22
22,0,10,11,0,22
22,1,10,10,0,22
22,2,10,5,0,22
22,3,10,12,1,24
24,0,10,13,0,26
26,0,10,11,0,26
26,1,10,11,0,26
26,2,10,11,0,28
28,0,10,13,0,30
30,0,10,11,0,30
30,1,10,10,0,30
30,2,10,12,0,32
32,0,10,6,0,32
32,1,10,6,1,28
28,0,10,7,0,28
28,1,10,10,1,28
28,2,10,5,0,28
28,3,10,13,1,30
30,0,10,6,0,30
30,1,10,12,1,32
32,0,10,10,0,32
32,1,10,10,0,32
32,2,10,13,0,34
34,0,10,11,0,34
34,1,10,8,0,34
34,2,10,11,1,36
36,0,10,12,0,38
38,0,10,12,0,40
40,0,10,12,0,42
42,0,10,10,0,42
42,1,10,7,0,42
42,2,10,6,1,38
38,0,10,5,0,38
38,1,10,13,1,40
40,0,10,13,0,42
42,0,10,11,0,42
42,1,10,7,0,42
42,2,10,13,1,44
44,0,10,6,0,44
44,1,10,5,1,40
40,0,10,12,0,42
42,0,10,7,0,42
16,0,10,11,0,16
16,1,10,10,0,16
16,2,10,10,0,18
18,0,10,11,0,18
18,1,10,5,0,18
18,2,10,11,1,20
20,0,10,10,0,20
20,1,10,9,0,20
20,2,10,8,1,18
18,0,10,13,0,20
20,0,10,10,0,20
20,1,10,10,0,20
20,2,10,11,0,22
22,0,10,6,0,22
22,1,10,10,1,22
22,2,10,10,0,24
24,0,10,5,0,24
24,1,10,11,1,24
24,2,10,9,0,24
24,3,10,10,1,26
26,0,10,13,0,28
28,0,10,12,0,30
30,0,10,8,0,30
30,1,10,10,1,30
30,2,10,11,0,32
32,0,10,13,0,34
34,0,10,11,0,34
34,1,10,11,0,34
34,2,10,13,0,36
36,0,10,7,0,36
36,1,10,13,1,38
38,0,10,13,0,40
40,0,10,11,0,40
40,1,10,6,0,40
40,2,10,11,1,42
42,0,10,13,0,44
44,0,10,7,0,44
44,1,10,13,1,46
46,0,10,8,0,46
46,1,10,10,1,46
46,2,10,12,0,48
48,0,10,9,0,48
48,1,10,11,1,48
48,2,10,12,0,50
50,0,10,10,0,50
50,1,10,5,0,50
50,2,10,13,1,52
52,0,10,6,0,52
52,1,10,7,1,46
46,0,10,5,0,46
6,0,10,10,0,6
6,1,10,8,0,6
6,2,10,12,1,8
8,0,10,10,0,8
8,1,10,5,0,8
8,2,10,12,1,10
10,0,10,12,0,12
12,0,10,11,0,12
12,1,10,12,0,14
14,0,10,13,0,16
16,0,10,13,0,18
18,0,10,5,0,18
18,1,10,11,1,18
18,2,10,10,0,20
20,0,10,7,0,20
20,1,10,10,1,20
20,2,10,11,0,22
22,0,10,8,0,22
22,1,10,8,1,20
20,0,10,9,0,20
20,1,10,11,1,20
20,2,10,7,0,20
20,3,10,11,1,22
22,0,10,12,0,24
24,0,10,5,0,24
24,1,10,7,1,22
22,0,10,13,0,24
24,0,10,10,0,24
24,1,10,7,0,24
24,2,10,13,1,26
26,0,10,10,0,26
26,1,10,10,0,26
26,2,10,9,0,26
26,3,10,13,1,28
28,0,10,9,0,28
28,1,10,10,1,28
28,2,10,9,0,28
28,3,10,13,1,30
30,0,10,10,0,30
30,1,10,11,0,30
30,2,10,12,0,32
32,0,10,8,0,32
32,1,10,11,1,32
32,2,10,10,0,34
34,0,10,8,0,34
34,1,10,7,1,30
30,0,10,10,0,30
30,1,10,10,0,30
30,2,10,11,0,32
32,0,10,5,0,32
20,0,10,12,0,22
22,0,10,7,0,22
22,1,10,10,1,22
22,2,10,10,0,24
24,0,10,5,0,24
24,1,10,10,1,24
24,2,10,11,0,26
26,0,10,12,0,28
28,0,10,11,0,28
28,1,10,9,0,28
28,2,10,12,1,30
30,0,10,7,0,30
30,1,10,11,1,30
30,2,10,12,0,32
32,0,10,7,0,32
32,1,10,5,1,28
28,0,10,10,0,28
28,1,10,6,0,28
28,2,10,13,1,30
30,0,10,11,0,30
30,1,10,11,0,30
30,2,10,10,0,32
32,0,10,8,0,32
32,1,10,10,1,32
32,2,10,6,0,32
32,3,10,11,1,34
34,0,10,13,0,36
36,0,10,5,0,36
36,1,10,10,1,36
36,2,10,11,0,38
38,0,10,8,0,38
38,1,10,9,1,34
34,0,10,10,0,34
34,1,10,10,0,34
34,2,10,11,0,36
36,0,10,13,0,38
38,0,10,8,0,38
38,1,10,7,1,34
34,0,10,10,0,34
34,1,10,12,0,36
36,0,10,6,0,36
36,1,10,12,1,38
38,0,10,6,0,38
38,1,10,9,1,34
34,0,10,12,0,36
36,0,10,11,0,36
36,1,10,11,0,36
36,2,10,13,0,38
38,0,10,13,0,40
40,0,10,10,0,40
10,0,10,10,0,10
10,1,10,11,0,10
10,2,10,13,0,12
12,0,10,11,0,12
12,1,10,11,0,12
12,2,10,10,0,14
14,0,10,12,0,16
16,0,10,10,0,16
16,1,10,11,0,16
16,2,10,8,0,16
16,3,10,11,1,18
18,0,10,11,0,18
18,1,10,6,0,18
18,2,10,11,1,20
20,0,10,13,0,22
22,0,10,10,0,22
22,1,10,13,0,24
24,0,10,12,0,26
26,0,10,11,0,26
26,1,10,6,0,26
26,2,10,12,1,28
28,0,10,6,0,28
28,1,10,13,1,30
30,0,10,6,0,30
30,1,10,12,1,32
32,0,10,11,0,32
32,1,10,13,0,34
34,0,10,12,0,36
36,0,10,8,0,36
36,1,10,9,1,32
32,0,10,10,0,32
32,1,10,9,0,32
32,2,10,11,1,34
34,0,10,12,0,36
36,0,10,9,0,36
36,1,10,11,1,36
36,2,10,10,0,38
38,0,10,10,0,38
38,1,10,8,0,38
38,2,10,7,1,34
34,0,10,13,0,36
36,0,10,5,0,36
36,1,10,12,1,38
38,0,10,11,0,38
38,1,10,12,0,40
40,0,10,10,0,40
40,1,10,7,0,40
40,2,10,11,1,42
42,0,10,6,0,42
42,1,10,5,1,38
18,0,10,11,0,18
18,1,10,11,0,18
18,2,10,12,0,20
20,0,10,11,0,20
20,1,10,10,0,20
20,2,10,11,0,22
22,0,10,6,0,22
22,1,10,13,1,24
24,0,10,11,0,24
